material_code,plant_id,time_bucket,week_bucket,date,demand_qty,uom,source_type,source_id,customer_id,project_id,priority,status,notes
FG-003,PLANT-02,2024-W01,2024-W01,2024-01-07,563,pcs,SO,SO-2024-7448,CUST-004,,1,confirmed,
FG-004,PLANT-01,2024-W01,2024-W01,2024-01-07,0,pcs,forecast,FORECAST-2024-2385,,,3,confirmed,
FG-005,PLANT-02,2024-W01,2024-W01,2024-01-07,181,pcs,SO,SO-2024-7821,CUST-001,,1,confirmed,
FG-001,PLANT-01,2024-W02,2024-W02,2024-01-08,1091,pcs,forecast,FORECAST-2024-7780,,,1,confirmed,
FG-002,PLANT-01,2024-W02,2024-W02,2024-01-08,292,pcs,manual,MANUAL-2024-8957,,,1,confirmed,
FG-003,PLANT-02,2024-W02,2024-W02,2024-01-08,2356,pcs,manual,MANUAL-2024-7940,,,2,confirmed,
FG-004,PLANT-01,2024-W02,2024-W02,2024-01-08,0,pcs,forecast,FORECAST-2024-8598,,,1,confirmed,
FG-005,PLANT-02,2024-W02,2024-W02,2024-01-08,747,pcs,manual,MANUAL-2024-7678,,,1,confirmed,
FG-001,PLANT-01,2024-W02,2024-W02,2024-01-09,1086,pcs,SO,SO-2024-6735,CUST-001,,3,confirmed,
FG-002,PLANT-01,2024-W02,2024-W02,2024-01-09,315,pcs,forecast,FORECAST-2024-2676,,,2,confirmed,
FG-003,PLANT-02,2024-W02,2024-W02,2024-01-09,2375,pcs,SO,SO-2024-6229,CUST-003,,1,confirmed,
FG-004,PLANT-01,2024-W02,2024-W02,2024-01-09,52,pcs,SO,SO-2024-1557,CUST-003,,1,confirmed,
FG-005,PLANT-02,2024-W02,2024-W02,2024-01-09,668,pcs,SO,SO-2024-4406,CUST-013,,2,confirmed,
FG-001,PLANT-01,2024-W02,2024-W02,2024-01-10,999,pcs,SO,SO-2024-5043,CUST-001,,1,confirmed,
FG-002,PLANT-01,2024-W02,2024-W02,2024-01-10,238,pcs,manual,MANUAL-2024-3011,,,2,confirmed,
FG-003,PLANT-02,2024-W02,2024-W02,2024-01-10,2051,pcs,SO,SO-2024-8420,CUST-004,,1,confirmed,
FG-004,PLANT-01,2024-W02,2024-W02,2024-01-10,71,pcs,forecast,FORECAST-2024-6746,,,2,confirmed,
FG-005,PLANT-02,2024-W02,2024-W02,2024-01-10,630,pcs,SO,SO-2024-2903,CUST-001,,2,confirmed,
FG-001,PLANT-01,2024-W02,2024-W02,2024-01-11,970,pcs,manual,MANUAL-2024-5216,,,1,confirmed,
FG-002,PLANT-01,2024-W02,2024-W02,2024-01-11,285,pcs,manual,MANUAL-2024-9842,,,1,confirmed,
FG-003,PLANT-02,2024-W02,2024-W02,2024-01-11,2270,pcs,SO,SO-2024-2771,CUST-002,,2,confirmed,
FG-004,PLANT-01,2024-W02,2024-W02,2024-01-11,0,pcs,forecast,FORECAST-2024-2176,,,3,confirmed,
FG-005,PLANT-02,2024-W02,2024-W02,2024-01-11,750,pcs,SO,SO-2024-5703,CUST-001,,1,confirmed,
FG-001,PLANT-01,2024-W02,2024-W02,2024-01-12,799,pcs,SO,SO-2024-9784,CUST-003,,1,confirmed,
FG-002,PLANT-01,2024-W02,2024-W02,2024-01-12,0,pcs,forecast,FORECAST-2024-8428,,,3,confirmed,
FG-003,PLANT-02,2024-W02,2024-W02,2024-01-12,1850,pcs,SO,SO-2024-3109,CUST-001,,1,confirmed,
FG-004,PLANT-01,2024-W02,2024-W02,2024-01-12,60,pcs,SO,SO-2024-3608,CUST-003,,2,confirmed,
FG-005,PLANT-02,2024-W02,2024-W02,2024-01-12,568,pcs,SO,SO-2024-1164,CUST-001,,1,confirmed,
FG-001,PLANT-01,2024-W02,2024-W02,2024-01-13,431,pcs,SO,SO-2024-5974,CUST-001,,1,confirmed,
FG-002,PLANT-01,2024-W02,2024-W02,2024-01-13,197,pcs,SO,SO-2024-3798,CUST-002,,1,confirmed,
FG-003,PLANT-02,2024-W02,2024-W02,2024-01-13,1178,pcs,SO,SO-2024-6949,CUST-004,,1,confirmed,
FG-004,PLANT-01,2024-W02,2024-W02,2024-01-13,35,pcs,SO,SO-2024-9754,CUST-003,,1,confirmed,
FG-005,PLANT-02,2024-W02,2024-W02,2024-01-13,227,pcs,SO,SO-2024-6003,CUST-001,,1,confirmed,
FG-001,PLANT-01,2024-W02,2024-W02,2024-01-14,97,pcs,SO,SO-2024-2177,CUST-004,,1,confirmed,
FG-002,PLANT-01,2024-W02,2024-W02,2024-01-14,160,pcs,manual,MANUAL-2024-1775,,,3,confirmed,
FG-003,PLANT-02,2024-W02,2024-W02,2024-01-14,485,pcs,forecast,FORECAST-2024-6163,,,1,confirmed,
FG-004,PLANT-01,2024-W02,2024-W02,2024-01-14,29,pcs,SO,SO-2024-6477,CUST-018,,1,confirmed,
FG-005,PLANT-02,2024-W02,2024-W02,2024-01-14,204,pcs,SO,SO-2024-2020,CUST-004,,2,confirmed,
FG-001,PLANT-01,2024-W03,2024-W03,2024-01-15,1144,pcs,SO,SO-2024-7595,CUST-003,,1,confirmed,
FG-002,PLANT-01,2024-W03,2024-W03,2024-01-15,306,pcs,SO,SO-2024-1647,CUST-006,,1,confirmed,
FG-003,PLANT-02,2024-W03,2024-W03,2024-01-15,2189,pcs,SO,SO-2024-2993,CUST-016,,1,confirmed,
FG-004,PLANT-01,2024-W03,2024-W03,2024-01-15,78,pcs,SO,SO-2024-1629,CUST-001,,2,confirmed,
FG-005,PLANT-02,2024-W03,2024-W03,2024-01-15,734,pcs,SO,SO-2024-4259,CUST-009,,2,confirmed,
FG-001,PLANT-01,2024-W03,2024-W03,2024-01-16,1143,pcs,SO,SO-2024-7496,CUST-001,,1,confirmed,
FG-002,PLANT-01,2024-W03,2024-W03,2024-01-16,338,pcs,SO,SO-2024-5289,CUST-004,,2,confirmed,
FG-003,PLANT-02,2024-W03,2024-W03,2024-01-16,2597,pcs,manual,MANUAL-2024-4187,,,2,confirmed,
FG-004,PLANT-01,2024-W03,2024-W03,2024-01-16,76,pcs,SO,SO-2024-7656,CUST-003,,1,confirmed,
FG-005,PLANT-02,2024-W03,2024-W03,2024-01-16,597,pcs,manual,MANUAL-2024-1757,,,1,confirmed,
FG-001,PLANT-01,2024-W03,2024-W03,2024-01-17,1170,pcs,forecast,FORECAST-2024-7350,,,2,confirmed,
FG-002,PLANT-01,2024-W03,2024-W03,2024-01-17,258,pcs,forecast,FORECAST-2024-1903,,,1,confirmed,
FG-003,PLANT-02,2024-W03,2024-W03,2024-01-17,2400,pcs,manual,MANUAL-2024-4700,,,1,confirmed,
FG-004,PLANT-01,2024-W03,2024-W03,2024-01-17,0,pcs,forecast,FORECAST-2024-5485,,,2,confirmed,
FG-005,PLANT-02,2024-W03,2024-W03,2024-01-17,691,pcs,manual,MANUAL-2024-2218,,,2,confirmed,
FG-001,PLANT-01,2024-W03,2024-W03,2024-01-18,1157,pcs,manual,MANUAL-2024-7617,,,2,confirmed,
FG-002,PLANT-01,2024-W03,2024-W03,2024-01-18,336,pcs,SO,SO-2024-1703,CUST-001,,2,confirmed,
FG-003,PLANT-02,2024-W03,2024-W03,2024-01-18,2315,pcs,SO,SO-2024-4256,CUST-001,,2,confirmed,
FG-004,PLANT-01,2024-W03,2024-W03,2024-01-18,68,pcs,forecast,FORECAST-2024-8421,,,1,confirmed,
FG-005,PLANT-02,2024-W03,2024-W03,2024-01-18,760,pcs,SO,SO-2024-7550,CUST-004,,2,confirmed,
FG-001,PLANT-01,2024-W03,2024-W03,2024-01-19,920,pcs,SO,SO-2024-4043,CUST-001,,1,confirmed,
FG-002,PLANT-01,2024-W03,2024-W03,2024-01-19,191,pcs,SO,SO-2024-6068,CUST-001,,1,confirmed,
FG-003,PLANT-02,2024-W03,2024-W03,2024-01-19,1987,pcs,SO,SO-2024-6524,CUST-001,,3,confirmed,
FG-004,PLANT-01,2024-W03,2024-W03,2024-01-19,0,pcs,forecast,FORECAST-2024-3265,,,1,confirmed,
FG-005,PLANT-02,2024-W03,2024-W03,2024-01-19,623,pcs,manual,MANUAL-2024-8360,,,1,confirmed,
FG-001,PLANT-01,2024-W03,2024-W03,2024-01-20,573,pcs,forecast,FORECAST-2024-9328,,,1,confirmed,
FG-002,PLANT-01,2024-W03,2024-W03,2024-01-20,143,pcs,SO,SO-2024-2650,CUST-020,,1,confirmed,
FG-003,PLANT-02,2024-W03,2024-W03,2024-01-20,1253,pcs,manual,MANUAL-2024-2739,,,3,confirmed,
FG-004,PLANT-01,2024-W03,2024-W03,2024-01-20,53,pcs,forecast,FORECAST-2024-6583,,,1,confirmed,
FG-005,PLANT-02,2024-W03,2024-W03,2024-01-20,323,pcs,SO,SO-2024-9164,CUST-004,,1,confirmed,
FG-001,PLANT-01,2024-W03,2024-W03,2024-01-21,265,pcs,forecast,FORECAST-2024-8599,,,1,confirmed,
FG-002,PLANT-01,2024-W03,2024-W03,2024-01-21,142,pcs,manual,MANUAL-2024-3638,,,1,confirmed,
FG-003,PLANT-02,2024-W03,2024-W03,2024-01-21,569,pcs,forecast,FORECAST-2024-3481,,,1,confirmed,
FG-004,PLANT-01,2024-W03,2024-W03,2024-01-21,16,pcs,forecast,FORECAST-2024-3197,,,2,confirmed,
FG-005,PLANT-02,2024-W03,2024-W03,2024-01-21,246,pcs,SO,SO-2024-3672,CUST-004,,1,confirmed,
FG-001,PLANT-01,2024-W04,2024-W04,2024-01-22,1241,pcs,manual,MANUAL-2024-6977,,,1,confirmed,
FG-002,PLANT-01,2024-W04,2024-W04,2024-01-22,277,pcs,SO,SO-2024-1179,CUST-019,,1,confirmed,
FG-003,PLANT-02,2024-W04,2024-W04,2024-01-22,2244,pcs,SO,SO-2024-6618,CUST-002,,2,confirmed,
FG-004,PLANT-01,2024-W04,2024-W04,2024-01-22,93,pcs,manual,MANUAL-2024-4188,,,3,confirmed,
FG-005,PLANT-02,2024-W04,2024-W04,2024-01-22,477,pcs,SO,SO-2024-2564,CUST-002,,2,confirmed,
FG-001,PLANT-01,2024-W04,2024-W04,2024-01-23,1179,pcs,SO,SO-2024-7578,CUST-003,,1,confirmed,
FG-002,PLANT-01,2024-W04,2024-W04,2024-01-23,324,pcs,manual,MANUAL-2024-6478,,,1,confirmed,
FG-003,PLANT-02,2024-W04,2024-W04,2024-01-23,2425,pcs,manual,MANUAL-2024-6252,,,1,confirmed,
FG-004,PLANT-01,2024-W04,2024-W04,2024-01-23,0,pcs,forecast,FORECAST-2024-1865,,,1,confirmed,
FG-005,PLANT-02,2024-W04,2024-W04,2024-01-23,810,pcs,manual,MANUAL-2024-8774,,,1,confirmed,
FG-001,PLANT-01,2024-W04,2024-W04,2024-01-24,1090,pcs,SO,SO-2024-6550,CUST-004,,1,confirmed,
FG-002,PLANT-01,2024-W04,2024-W04,2024-01-24,286,pcs,manual,MANUAL-2024-1261,,,2,confirmed,
FG-003,PLANT-02,2024-W04,2024-W04,2024-01-24,2325,pcs,manual,MANUAL-2024-3370,,,1,confirmed,
FG-004,PLANT-01,2024-W04,2024-W04,2024-01-24,172,pcs,SO,SO-2024-2378,CUST-008,,1,confirmed,
FG-005,PLANT-02,2024-W04,2024-W04,2024-01-24,722,pcs,SO,SO-2024-1288,CUST-001,,2,confirmed,
FG-001,PLANT-01,2024-W04,2024-W04,2024-01-25,1069,pcs,SO,SO-2024-4720,CUST-001,,1,confirmed,
FG-002,PLANT-01,2024-W04,2024-W04,2024-01-25,324,pcs,manual,MANUAL-2024-9554,,,2,confirmed,
FG-003,PLANT-02,2024-W04,2024-W04,2024-01-25,2497,pcs,manual,MANUAL-2024-9721,,,1,confirmed,
FG-004,PLANT-01,2024-W04,2024-W04,2024-01-25,65,pcs,SO,SO-2024-5700,CUST-015,,2,confirmed,
FG-005,PLANT-02,2024-W04,2024-W04,2024-01-25,738,pcs,SO,SO-2024-3566,CUST-007,,2,confirmed,
FG-001,PLANT-01,2024-W04,2024-W04,2024-01-26,1070,pcs,SO,SO-2024-5520,CUST-001,,2,confirmed,
FG-002,PLANT-01,2024-W04,2024-W04,2024-01-26,251,pcs,SO,SO-2024-6923,CUST-001,,1,confirmed,
FG-003,PLANT-02,2024-W04,2024-W04,2024-01-26,2107,pcs,SO,SO-2024-4605,CUST-003,,1,confirmed,
FG-004,PLANT-01,2024-W04,2024-W04,2024-01-26,79,pcs,manual,MANUAL-2024-7368,,,1,confirmed,
FG-005,PLANT-02,2024-W04,2024-W04,2024-01-26,553,pcs,SO,SO-2024-5999,CUST-004,,2,confirmed,
FG-001,PLANT-01,2024-W04,2024-W04,2024-01-27,530,pcs,SO,SO-2024-3088,CUST-002,,2,confirmed,
FG-002,PLANT-01,2024-W04,2024-W04,2024-01-27,373,pcs,forecast,FORECAST-2024-7701,,,2,confirmed,
FG-003,PLANT-02,2024-W04,2024-W04,2024-01-27,1334,pcs,SO,SO-2024-8057,CUST-002,,1,confirmed,
FG-004,PLANT-01,2024-W04,2024-W04,2024-01-27,52,pcs,SO,SO-2024-2448,CUST-004,,1,confirmed,
FG-005,PLANT-02,2024-W04,2024-W04,2024-01-27,463,pcs,SO,SO-2024-1482,CUST-001,,1,confirmed,
FG-001,PLANT-01,2024-W04,2024-W04,2024-01-28,124,pcs,SO,SO-2024-3372,CUST-004,,3,confirmed,
FG-002,PLANT-01,2024-W04,2024-W04,2024-01-28,123,pcs,manual,MANUAL-2024-1838,,,2,confirmed,
FG-003,PLANT-02,2024-W04,2024-W04,2024-01-28,311,pcs,SO,SO-2024-5475,CUST-004,,1,confirmed,
FG-004,PLANT-01,2024-W04,2024-W04,2024-01-28,0,pcs,forecast,FORECAST-2024-3713,,,2,confirmed,
FG-005,PLANT-02,2024-W04,2024-W04,2024-01-28,189,pcs,SO,SO-2024-4536,CUST-003,,2,confirmed,
FG-001,PLANT-01,2024-W05,2024-W05,2024-01-29,1758,pcs,SO,SO-2024-8196,CUST-004,,1,confirmed,
FG-002,PLANT-01,2024-W05,2024-W05,2024-01-29,325,pcs,SO,SO-2024-2192,CUST-002,,1,confirmed,
FG-003,PLANT-02,2024-W05,2024-W05,2024-01-29,3930,pcs,SO,SO-2024-8626,CUST-002,,2,confirmed,
FG-004,PLANT-01,2024-W05,2024-W05,2024-01-29,0,pcs,forecast,FORECAST-2024-5474,,,2,confirmed,
FG-005,PLANT-02,2024-W05,2024-W05,2024-01-29,989,pcs,SO,SO-2024-7127,CUST-009,,1,confirmed,
FG-001,PLANT-01,2024-W05,2024-W05,2024-01-30,1669,pcs,SO,SO-2024-8693,CUST-002,,1,confirmed,
FG-002,PLANT-01,2024-W05,2024-W05,2024-01-30,370,pcs,SO,SO-2024-7999,CUST-001,,2,confirmed,
FG-003,PLANT-02,2024-W05,2024-W05,2024-01-30,3821,pcs,SO,SO-2024-7730,CUST-014,,1,confirmed,
FG-004,PLANT-01,2024-W05,2024-W05,2024-01-30,77,pcs,SO,SO-2024-6392,CUST-003,,2,confirmed,
FG-005,PLANT-02,2024-W05,2024-W05,2024-01-30,977,pcs,SO,SO-2024-1012,CUST-008,,1,confirmed,
FG-001,PLANT-01,2024-W05,2024-W05,2024-01-31,1514,pcs,forecast,FORECAST-2024-5224,,,2,confirmed,
FG-002,PLANT-01,2024-W05,2024-W05,2024-01-31,361,pcs,forecast,FORECAST-2024-6433,,,2,confirmed,
FG-003,PLANT-02,2024-W05,2024-W05,2024-01-31,3683,pcs,SO,SO-2024-2153,CUST-005,,1,confirmed,
FG-004,PLANT-01,2024-W05,2024-W05,2024-01-31,22,pcs,manual,MANUAL-2024-6056,,,1,confirmed,
FG-005,PLANT-02,2024-W05,2024-W05,2024-01-31,806,pcs,forecast,FORECAST-2024-5052,,,2,confirmed,
FG-001,PLANT-01,2024-W05,2024-W05,2024-02-01,1463,pcs,SO,SO-2024-3691,CUST-006,,3,confirmed,
FG-002,PLANT-01,2024-W05,2024-W05,2024-02-01,300,pcs,SO,SO-2024-5643,CUST-006,,1,confirmed,
FG-003,PLANT-02,2024-W05,2024-W05,2024-02-01,3579,pcs,SO,SO-2024-8285,CUST-004,,1,confirmed,
FG-004,PLANT-01,2024-W05,2024-W05,2024-02-01,0,pcs,forecast,FORECAST-2024-9594,,,1,confirmed,
FG-005,PLANT-02,2024-W05,2024-W05,2024-02-01,1001,pcs,forecast,FORECAST-2024-5375,,,3,confirmed,
FG-001,PLANT-01,2024-W05,2024-W05,2024-02-02,1392,pcs,SO,SO-2024-8165,CUST-003,,2,confirmed,
FG-002,PLANT-01,2024-W05,2024-W05,2024-02-02,313,pcs,forecast,FORECAST-2024-9532,,,2,confirmed,
FG-003,PLANT-02,2024-W05,2024-W05,2024-02-02,3150,pcs,SO,SO-2024-4546,CUST-001,,1,confirmed,
FG-004,PLANT-01,2024-W05,2024-W05,2024-02-02,62,pcs,SO,SO-2024-6030,CUST-001,,2,confirmed,
FG-005,PLANT-02,2024-W05,2024-W05,2024-02-02,834,pcs,forecast,FORECAST-2024-5479,,,1,confirmed,
FG-001,PLANT-01,2024-W05,2024-W05,2024-02-03,590,pcs,manual,MANUAL-2024-9506,,,2,confirmed,
FG-002,PLANT-01,2024-W05,2024-W05,2024-02-03,0,pcs,forecast,FORECAST-2024-1181,,,1,confirmed,
FG-003,PLANT-02,2024-W05,2024-W05,2024-02-03,1225,pcs,SO,SO-2024-1751,CUST-013,,3,confirmed,
FG-004,PLANT-01,2024-W05,2024-W05,2024-02-03,9,pcs,SO,SO-2024-5431,CUST-008,,1,confirmed,
FG-005,PLANT-02,2024-W05,2024-W05,2024-02-03,260,pcs,SO,SO-2024-8314,CUST-001,,3,confirmed,
FG-001,PLANT-01,2024-W05,2024-W05,2024-02-04,287,pcs,SO,SO-2024-7354,CUST-003,,1,confirmed,
FG-002,PLANT-01,2024-W05,2024-W05,2024-02-04,226,pcs,SO,SO-2024-9976,CUST-003,,1,confirmed,
FG-003,PLANT-02,2024-W05,2024-W05,2024-02-04,896,pcs,SO,SO-2024-8632,CUST-016,,2,confirmed,
FG-004,PLANT-01,2024-W05,2024-W05,2024-02-04,31,pcs,SO,SO-2024-7596,CUST-003,,2,confirmed,
FG-005,PLANT-02,2024-W05,2024-W05,2024-02-04,213,pcs,SO,SO-2024-6185,CUST-016,,1,confirmed,
FG-001,PLANT-01,2024-W06,2024-W06,2024-02-05,1667,pcs,SO,SO-2024-9000,CUST-004,,1,confirmed,
FG-002,PLANT-01,2024-W06,2024-W06,2024-02-05,333,pcs,SO,SO-2024-5281,CUST-002,,2,confirmed,
FG-003,PLANT-02,2024-W06,2024-W06,2024-02-05,3901,pcs,forecast,FORECAST-2024-5562,,,1,confirmed,
FG-004,PLANT-01,2024-W06,2024-W06,2024-02-05,0,pcs,forecast,FORECAST-2024-2411,,,1,confirmed,
FG-005,PLANT-02,2024-W06,2024-W06,2024-02-05,928,pcs,SO,SO-2024-8786,CUST-001,,2,confirmed,
FG-001,PLANT-01,2024-W06,2024-W06,2024-02-06,1559,pcs,manual,MANUAL-2024-6777,,,1,confirmed,
FG-002,PLANT-01,2024-W06,2024-W06,2024-02-06,353,pcs,forecast,FORECAST-2024-4503,,,2,confirmed,
FG-003,PLANT-02,2024-W06,2024-W06,2024-02-06,3849,pcs,SO,SO-2024-6150,CUST-013,,2,confirmed,
FG-004,PLANT-01,2024-W06,2024-W06,2024-02-06,0,pcs,forecast,FORECAST-2024-6313,,,1,confirmed,
FG-005,PLANT-02,2024-W06,2024-W06,2024-02-06,922,pcs,SO,SO-2024-8913,CUST-003,,1,confirmed,
FG-001,PLANT-01,2024-W06,2024-W06,2024-02-07,1645,pcs,forecast,FORECAST-2024-8995,,,1,confirmed,
FG-002,PLANT-01,2024-W06,2024-W06,2024-02-07,323,pcs,SO,SO-2024-5845,CUST-005,,1,confirmed,
FG-003,PLANT-02,2024-W06,2024-W06,2024-02-07,4007,pcs,SO,SO-2024-3000,CUST-011,,3,confirmed,
FG-004,PLANT-01,2024-W06,2024-W06,2024-02-07,0,pcs,forecast,FORECAST-2024-2526,,,2,confirmed,
FG-005,PLANT-02,2024-W06,2024-W06,2024-02-07,773,pcs,SO,SO-2024-8775,CUST-003,,1,confirmed,
FG-001,PLANT-01,2024-W06,2024-W06,2024-02-08,1502,pcs,forecast,FORECAST-2024-9794,,,1,confirmed,
FG-002,PLANT-01,2024-W06,2024-W06,2024-02-08,346,pcs,forecast,FORECAST-2024-5883,,,2,confirmed,
FG-003,PLANT-02,2024-W06,2024-W06,2024-02-08,3811,pcs,SO,SO-2024-3947,CUST-004,,1,confirmed,
FG-004,PLANT-01,2024-W06,2024-W06,2024-02-08,96,pcs,manual,MANUAL-2024-1971,,,1,confirmed,
FG-005,PLANT-02,2024-W06,2024-W06,2024-02-08,704,pcs,forecast,FORECAST-2024-7519,,,1,confirmed,
FG-001,PLANT-01,2024-W06,2024-W06,2024-02-09,73,pcs,manual,MANUAL-2024-1835,,,1,confirmed,
FG-002,PLANT-01,2024-W06,2024-W06,2024-02-09,0,pcs,forecast,FORECAST-2024-2118,,,1,confirmed,
FG-003,PLANT-02,2024-W06,2024-W06,2024-02-09,0,pcs,forecast,FORECAST-2024-3925,,,2,confirmed,
FG-004,PLANT-01,2024-W06,2024-W06,2024-02-09,31,pcs,SO,SO-2024-3785,CUST-006,,1,confirmed,
FG-005,PLANT-02,2024-W06,2024-W06,2024-02-09,148,pcs,SO,SO-2024-4423,CUST-003,,1,confirmed,
FG-001,PLANT-01,2024-W06,2024-W06,2024-02-10,6,pcs,SO,SO-2024-2873,CUST-004,,3,confirmed,
FG-002,PLANT-01,2024-W06,2024-W06,2024-02-10,106,pcs,SO,SO-2024-5316,CUST-002,,1,confirmed,
FG-003,PLANT-02,2024-W06,2024-W06,2024-02-10,332,pcs,SO,SO-2024-6908,CUST-015,,2,confirmed,
FG-004,PLANT-01,2024-W06,2024-W06,2024-02-10,12,pcs,forecast,FORECAST-2024-1743,,,2,confirmed,
FG-005,PLANT-02,2024-W06,2024-W06,2024-02-10,171,pcs,SO,SO-2024-4467,CUST-004,,1,confirmed,
FG-001,PLANT-01,2024-W06,2024-W06,2024-02-11,54,pcs,SO,SO-2024-1857,CUST-004,,1,confirmed,
FG-002,PLANT-01,2024-W06,2024-W06,2024-02-11,96,pcs,manual,MANUAL-2024-8755,,,1,confirmed,
FG-003,PLANT-02,2024-W06,2024-W06,2024-02-11,149,pcs,manual,MANUAL-2024-8751,,,1,confirmed,
FG-004,PLANT-01,2024-W06,2024-W06,2024-02-11,0,pcs,forecast,FORECAST-2024-8712,,,1,confirmed,
FG-005,PLANT-02,2024-W06,2024-W06,2024-02-11,0,pcs,forecast,FORECAST-2024-8313,,,1,confirmed,
FG-001,PLANT-01,2024-W07,2024-W07,2024-02-12,184,pcs,SO,SO-2024-4710,CUST-003,,1,confirmed,
FG-002,PLANT-01,2024-W07,2024-W07,2024-02-12,0,pcs,forecast,FORECAST-2024-2679,,,1,confirmed,
FG-003,PLANT-02,2024-W07,2024-W07,2024-02-12,227,pcs,forecast,FORECAST-2024-2678,,,3,confirmed,
FG-004,PLANT-01,2024-W07,2024-W07,2024-02-12,9,pcs,SO,SO-2024-3525,CUST-003,,3,confirmed,
FG-005,PLANT-02,2024-W07,2024-W07,2024-02-12,193,pcs,forecast,FORECAST-2024-9328,,,2,confirmed,
FG-001,PLANT-01,2024-W07,2024-W07,2024-02-13,72,pcs,SO,SO-2024-8321,CUST-001,,1,confirmed,
FG-002,PLANT-01,2024-W07,2024-W07,2024-02-13,114,pcs,SO,SO-2024-7369,CUST-001,,1,confirmed,
FG-003,PLANT-02,2024-W07,2024-W07,2024-02-13,95,pcs,manual,MANUAL-2024-8423,,,3,confirmed,
